TEXT,DEPART,DESTINATION,ERROR
Je pars de Montpellier et je vais à Nancy,Montpellier,Nancy,false
Guide moi pour le trajet de Beziers à Marseille,Beziers,Marseille,false
Je souhaite partir de Brest pour aller a Bordeaux,Brest,Bordeaux,false
Je vais voir ma mère et mon pere a Bordeaux et je pars de Nice,Nice,Bordeaux,false
Je vais enfin pouvoir prendre le train pour Toulouse en partant de Montpellier,Montpellier,Toulouse,false
Je suis enfin en vacance.J'espere que mon train pour aller a Lyon n'aura pas de soucis sachant que je part de la misérable gare de Marseille,gare de Marseille,Lyon,false
Avec toutes ces grève je pense que mon train de Marseille à Lyon va être annulé,Marseille,Lyon,false
Pourrissez en enfer la SNCF j'ai encore raté mon train de Montpellier à Avignon,Montpellier,Avignon,false
Alexis lache cette bouteille je veux aller à Nîmes en partant de Grenoble,Grenoble,Nîmes,false
Trajet Marseille Bordeaux,Marseille,Bordeaux,false
Trajet Bordeaux Marseille,Bordeaux,Marseille,false
Trajet Toulouse Beziers,Toulouse,Beziers,false
Trajet Beziers Toulouse,Beziers,Toulouse,false
Je suis aller à Epitech à Toulouse. Je veux rentrer à Epitech Montpellier. Puis-je avoir un billet?,Toulouse,Montpellier,false
Je suis au Polygone de Beziers mais je souhaite retourner au Polygone de Montpellier,Beziers,Montpellier,false
Putain ce téléphone fais que bugger la je veux juste aller de Bordeaux à Nancy c'est pas possible ça,Bordeaux,Nancy,false
je veux un train pour aller a Montpellier en partant de Grenoble,Grenoble,Montpellier,false
Je souhaite partir pour Toulouse en partant de Lille,Lille,Toulouse,false
kali bigG Davi de Toulouse à Grenoble,Toulouse,Grenoble,false
Je veux aller de Marseille à Paris.,Marseille,Paris,false
Il faudrait que j'aille en vacance à Montpellier mais je part de Brest.,Brest,Montpellier,false
Je vais rejoindre ma famille à Nice et je suis actuellement à Toulouse.,Toulouse,Nice,false
Je vais bien mais je ne sais pas quel train prendre pour aller de Montpellier à Marseille.,Montpellier,Marseille,false
Je ne sais pas ce que je cherche.,none,none,true
Je suis aller à Epitech à Lille. Je veux rentrer à Epitech Nice. Puis-je avoir un billet?,Lille,Nice,false
Je suis au Polygone de Nîmes mais je souhaite retourner au Polygone de La Rochelle,Nîmes,La Rochelle,false
C'est une catastrophe mon train est annulé. Je devais faire Toulouse à Montpellier demain soir mais je ne sais pas comment faire.,Toulouse,Montpellier,false
Comment dois-je m'y prendre pour aller de Lille à Carcassone?,Lille,Carcassone,false
Quel est le meilleur itinéraire pour aller de Auxerre à Béziers en passant par Nantes?,Auxerre,Béziers,false
j'aimerais partir de Paris et passer par biarritz pour me rendre à Marseille.,Paris,Marseille,false
arrivée Abbévillers et départ Abondant,Abondant,Abbévillers,false
J'irai bien à la gare d'austerlitz depuis la gare de toulouse,gare de toulouse,gare d'austerlitz,false
Départ Bordeaux arrivée Nice,Bordeaux,Nice,false
Je pars pour Montpellier demain. J'habite à Montreux,Montreux,Montpellier,false
arrivée Paris gare de lyon en partant de Béziers,Béziers,Paris gare de lyon,false
Je dois aller à Toulon. Mais je ne sais pas comment. Je pars de Saint Ouen.,Saint Ouen,Toulon,false
Montpellier à Strasbourg,Montpellier,Strasbourg,false
quel est le trajet le plus cours de La Rochelle vers Cannes?,La Rochelle,Cannes,false
Train entre Dijon et Perpignan,Dijon,Perpignan,false
Je pars en vacance à Montpellier. J'habite à Pau,Pau,Montpellier,false
Y'a t-il un train qui va de Beziers à Montpellier?,Beziers,Montpellier,false
Je souhaite aller à Lille en partant de La Rochelle,La Rochelle,Lille,false
